Lean_File,Route_Category,Primary_Purpose,Estimated_Declarations,Verification_Status,Mathematical_Area
H15StructuredCorrelationEstimate.lean,H15: Core Aggregate Estimate,Theoretical foundation,1-3,✓ Lean-verified,General
H15_RouteA.lean,H15: Core Aggregate Estimate,Theoretical foundation,1-3,✓ Lean-verified,General
HadamardEndpoint.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
HadamardPreparation.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
HadamardTarget.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
HeightTruncationProduct.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
Hypotheses.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
IntervalCertificate.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
Lemma2Assembly.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
Lemma3Finite.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
Lemma3LimitAssembly.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
Li.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
LogPullback.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
MellinCriticalLine.lean,Supporting Theory,Transform theory,1-3,✓ Lean-verified,Riemann ζ-function
MellinEvaluation.lean,Supporting Theory,Transform theory,1-3,✓ Lean-verified,Analytic transforms
MellinPlancherel.lean,Supporting Theory,Transform theory,1-3,✓ Lean-verified,Analytic transforms
MellinTransform.lean,Supporting Theory,Transform theory,1-3,✓ Lean-verified,Analytic transforms
MobiusSummatory.lean,Möbius Summation,Theoretical foundation,1-3,✓ Lean-verified,Number theory
MobiusSummatoryClassical.lean,Möbius Summation,Theoretical foundation,1-3,✓ Lean-verified,Number theory
MultiplicityZeroCounting.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,Riemann ζ-function
NB2ApproximationAlgebra.lean,Nyman-Beurling: L² Completeness,Theoretical foundation,1-3,✓ Lean-verified,General
NB2BaseMellin.lean,Nyman-Beurling: L² Completeness,Transform theory,1-3,✓ Lean-verified,Analytic transforms
NB2Mellin.lean,Nyman-Beurling: L² Completeness,Transform theory,1-3,✓ Lean-verified,Analytic transforms
NB3MellinContinuity.lean,Nyman-Beurling: L² Completeness,Transform theory,1-3,✓ Lean-verified,Analytic transforms
NB4ZeroDetection.lean,Nyman-Beurling: L² Completeness,Theoretical foundation,1-3,✓ Lean-verified,Riemann ζ-function
NB5FunctionalEquationClosure.lean,Nyman-Beurling: L² Completeness,Theoretical foundation,1-3,✓ Lean-verified,General
NBChiMellin.lean,Nyman-Beurling: L² Completeness,Transform theory,1-3,✓ Lean-verified,Analytic transforms
NBMellinTools.lean,Nyman-Beurling: L² Completeness,Transform theory,1-3,✓ Lean-verified,Analytic transforms
NymanBeurlingCertificate.lean,Nyman-Beurling: L² Completeness,Theoretical foundation,1-3,✓ Lean-verified,General
NymanBeurlingForward.lean,Nyman-Beurling: L² Completeness,Theoretical foundation,1-3,✓ Lean-verified,General
NymanBeurlingMellinContinuity.lean,Nyman-Beurling: L² Completeness,Transform theory,1-3,✓ Lean-verified,Analytic transforms
NymanBeurlingRHBridgeDischarge.lean,Nyman-Beurling: L² Completeness,Proof connection,1-3,✓ Lean-verified,General
NymanBeurlingZeroDetection.lean,Nyman-Beurling: L² Completeness,Theoretical foundation,1-3,✓ Lean-verified,Riemann ζ-function
NymanGramN1.lean,Nyman-Beurling: L² Completeness,Numerical computation,1-3,✓ Lean-verified,General
NymanGramN10.lean,Nyman-Beurling: L² Completeness,Numerical computation,1-3,✓ Lean-verified,General
NymanGramN2.lean,Nyman-Beurling: L² Completeness,Numerical computation,1-3,✓ Lean-verified,General
NymanGramN20.lean,Nyman-Beurling: L² Completeness,Numerical computation,1-3,✓ Lean-verified,General
NymanGramN3.lean,Nyman-Beurling: L² Completeness,Numerical computation,1-3,✓ Lean-verified,General
NymanGramN5.lean,Nyman-Beurling: L² Completeness,Numerical computation,1-3,✓ Lean-verified,General
NymanGramN50.lean,Nyman-Beurling: L² Completeness,Numerical computation,1-3,✓ Lean-verified,General
NymanGramN50_EntriesPart1.lean,Nyman-Beurling: L² Completeness,Numerical computation,1-3,✓ Lean-verified,General
NymanGramN50_EntriesPart2.lean,Nyman-Beurling: L² Completeness,Numerical computation,1-3,✓ Lean-verified,General
NymanGramN50_EntriesPart3.lean,Nyman-Beurling: L² Completeness,Numerical computation,1-3,✓ Lean-verified,General
NymanGramN50_EntriesPart4.lean,Nyman-Beurling: L² Completeness,Numerical computation,1-3,✓ Lean-verified,General
NymanGramN50_EntriesPart5.lean,Nyman-Beurling: L² Completeness,Numerical computation,1-3,✓ Lean-verified,General
NymanGramN50_Matrix.lean,Nyman-Beurling: L² Completeness,Numerical computation,1-3,✓ Lean-verified,General
NymanGramN50_Tail.lean,Nyman-Beurling: L² Completeness,Numerical computation,1-3,✓ Lean-verified,General
NymanGramN50_ToyGramCertified.lean,Nyman-Beurling: L² Completeness,Numerical computation,1-3,✓ Lean-verified,General
OuterBoundary.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
Perron.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
Phase10J_AxiomAudit.lean,Supporting Theory,Verification/Checking,1-3,✓ Lean-verified,General
Phase15ModeSpectrum.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
QuadraticInteraction.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
RHBridge.lean,Supporting Theory,Proof connection,1-3,✓ Lean-verified,General
RationalPSD.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
RectangleDiskHomotopy.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
Spectral.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
SpectralCertificate.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
StrategyMap.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
TailBounds.lean,Supporting Theory,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
TranscendentalBounds.lean,Supporting Theory,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
TranscendentalBoundsGenerated.lean,Supporting Theory,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
TrigIntervalDemo.lean,Trigonometric Bounds,Theoretical foundation,1-3,✓ Lean-verified,Trigonometric functions
TrigIntervalSweep.lean,Trigonometric Bounds,Theoretical foundation,1-3,✓ Lean-verified,Trigonometric functions
VasyuninBridge.lean,Vasyunin: Explicit Formula Route,Proof connection,1-3,✓ Lean-verified,General
VasyuninCotangentRecognition.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,Trigonometric functions
VasyuninExplicitFormula.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninGram.lean,Vasyunin: Explicit Formula Route,Numerical computation,1-3,✓ Lean-verified,General
VasyuninIntervalsN1.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninIntervalsN10.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninIntervalsN2.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninIntervalsN20.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninIntervalsN3.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninIntervalsN5.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninIntervalsN50.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninIntervalsN50_Part1.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninIntervalsN50_Part10.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninIntervalsN50_Part11.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninIntervalsN50_Part2.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninIntervalsN50_Part3.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninIntervalsN50_Part4.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninIntervalsN50_Part5.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninIntervalsN50_Part6.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninIntervalsN50_Part7.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninIntervalsN50_Part8.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninIntervalsN50_Part9.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninPeriodReduction.lean,Vasyunin: Explicit Formula Route,Theoretical foundation,1-3,✓ Lean-verified,General
VasyuninPrimitiveBounds.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsCore.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsGenerated.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK10.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK20.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK30.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK40.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK40_Part1.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK40_Part2.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK40_Part3.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK40_Part4.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK40_Part5.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK40_Part6.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK40_Part7.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK40_Part8.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK40_Part9.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK50.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK50_Part1.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK50_Part10.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK50_Part11.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK50_Part12.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK50_Part13.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK50_Part14.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK50_Part2.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK50_Part3.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK50_Part4.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK50_Part5.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK50_Part6.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK50_Part7.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK50_Part8.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
VasyuninPrimitiveBoundsK50_Part9.lean,Vasyunin: Explicit Formula Route,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
WeilKernelCertificate.lean,Supporting Theory,Asymptotic bounds,1-3,✓ Lean-verified,Analytic transforms
WeilPositivity.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
XiSpecialValue.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
ZeroWeightFormula.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,Riemann ζ-function
Zeta.lean,Zeta Function Theory,Theoretical foundation,1-3,✓ Lean-verified,Riemann ζ-function
